k_ind,t_sim,P_1,P_2,X_1,X_2,X_3,Y_m_1,Y_m_2
244,4.06666666666667,5.4,5.6,737.115449080253,478.100294826841,529.221747827812,737.250828588542,529.024902640418
245,4.08333333333333,5.4,5.6,737.115306618978,478.103129986481,529.206709263749,735.954035056478,534.155587688326
246,4.1,5.4,5.6,737.115164542753,478.105959020427,529.191697164385,737.052436248728,543.822965251421
247,4.11666666666667,5.4,5.6,737.115022847424,478.108781939917,529.176711484587,738.305151039572,534.029844338256
248,4.13333333333333,5.4,5.6,737.114881528996,478.111598756256,529.161752179207,737.187855577779,546.865392655883
249,4.15,5.4,5.6,737.114740583623,478.114409480816,529.146819203087,737.145439804833,507.362211743529
250,4.16666666666667,5.4,5.6,737.114600007603,478.117214125031,529.131912511067,736.569846525982,524.306894356148
251,4.18333333333333,5.4,5.6,737.11445979737,478.12001270039,529.117032057981,737.091596009701,531.651599044368
252,4.2,5.4,5.6,737.114319949491,478.122805218436,529.102177798671,737.286721432858,520.132420167639
253,4.21666666666667,5.4,5.6,737.114180460655,478.125591690763,529.087349687982,737.430560028253,515.383591232978
254,4.23333333333333,5.4,5.6,737.114041327676,478.12837212901,529.072547680771,736.837417241317,535.699504453724
255,4.25,5.4,5.6,737.113902547478,478.13114654486,529.057771731904,736.93845324633,535.63818588172
256,4.26666666666667,5.4,5.6,737.113764117097,478.133914950036,529.043021796267,738.615342754956,532.150975404134
257,4.28333333333333,5.4,5.6,737.113626033671,478.136677356297,529.028297828762,735.437927387563,533.273992982999
258,4.3,5.4,5.6,737.113488294441,478.139433775437,529.013599784314,738.76773698934,519.663754860621
259,4.31666666666667,5.4,5.6,737.113350896741,478.142184219279,528.998927617872,737.363823162596,523.653754435958
260,4.33333333333333,5.4,5.6,737.113213837997,478.144928699678,528.98428128441,737.855258966132,527.838625969227
261,4.35,5.4,5.6,737.113077115724,478.147667228513,528.969660738936,735.878267075284,521.582375824441
262,4.36666666666667,5.4,5.6,737.112940727519,478.150399817686,528.955065936482,736.675135080879,532.519466555263
263,4.38333333333333,5.4,5.6,737.112804671058,478.153126479124,528.940496832121,736.906481061544,554.343010567634
264,4.4,5.4,5.6,737.112668944095,478.155847224769,528.925953380958,737.42632398698,523.746795464593
265,4.41666666666667,5.4,5.6,737.112533544456,478.158562066584,528.911435538134,735.873244626651,535.8650292781
266,4.43333333333333,5.4,5.6,737.112398470036,478.161271016544,528.896943258832,737.462351140237,517.787221795737
267,4.45,5.4,5.6,737.112263718799,478.163974086639,528.882476498278,736.21233109664,543.269292879768
